trip_duration,usertype,number_of_trips
365,casual,26
365,member,9
366,member,8
366,casual,26
367,member,6
367,casual,21
368,casual,27
368,member,13
369,member,6
369,casual,26
370,casual,25
370,member,8
371,member,5
371,casual,31
372,casual,23
372,member,14
373,member,12
373,casual,15
374,casual,26
374,member,13
375,member,9
375,casual,24
376,member,4
376,casual,26
377,member,3
377,casual,22
378,member,5
378,casual,20
379,casual,22
379,member,5
380,casual,30
380,member,9
381,casual,21
381,member,12
382,casual,26
382,member,7
383,member,5
383,casual,20
384,casual,21
384,member,5
385,member,11
385,casual,21
386,member,9
386,casual,24
387,member,7
387,casual,19
388,casual,20
388,member,8
389,member,6
389,casual,26
390,member,10
390,casual,23
391,casual,30
391,member,10
392,member,8
392,casual,33
393,casual,24
393,member,3
394,casual,6
394,member,8
395,casual,13
395,member,3
396,casual,20
396,member,8
397,member,4
397,casual,24
398,member,8
398,casual,17
399,member,5
399,casual,20
400,member,5
400,casual,19
401,member,4
401,casual,19
402,casual,15
402,member,2
403,member,5
403,casual,20
404,casual,17
404,member,6
405,member,2
405,casual,22
406,member,7
406,casual,16
407,casual,24
407,member,7
408,member,10
408,casual,17
409,member,7
409,casual,18
410,casual,20
410,member,7
411,member,8
411,casual,13
412,casual,20
412,member,4
413,member,4
413,casual,13
414,member,3
414,casual,23
415,member,6
415,casual,22
416,member,8
416,casual,14
417,member,4
417,casual,16
418,member,6
418,casual,21
419,member,5
419,casual,16
420,member,7
420,casual,10
421,member,7
421,casual,13
422,casual,16
422,member,9
423,casual,9
423,member,3
424,member,5
424,casual,16
425,member,7
425,casual,10
426,casual,16
426,member,4
427,member,3
427,casual,16
428,member,10
428,casual,18
429,member,7
429,casual,14
430,casual,10
430,member,5
431,casual,21
431,member,8
432,member,1
432,casual,14
433,casual,12
433,member,5
434,member,7
434,casual,22
435,casual,11
435,member,3
436,member,9
436,casual,11
437,member,7
437,casual,8
438,member,6
438,casual,12
439,member,11
439,casual,11
440,member,10
440,casual,11
441,casual,11
441,member,6
442,casual,15
442,member,6
443,casual,10
443,member,8
444,member,7
444,casual,9
445,casual,9
445,member,11
446,casual,17
446,member,7
447,casual,12
447,member,10
448,casual,16
448,member,4
449,member,3
449,casual,10
450,member,9
450,casual,13
451,member,5
451,casual,17
452,member,11
452,casual,16
453,casual,8
453,member,12
454,member,4
454,casual,14
455,casual,12
455,member,6
456,member,6
456,casual,10
457,casual,12
457,member,6
458,member,6
458,casual,12
459,member,8
459,casual,14
460,casual,13
461,member,2
461,casual,13
462,member,4
462,casual,11
463,member,5
463,casual,18
464,casual,10
464,member,9
465,member,5
465,casual,16
466,casual,10
466,member,11
467,member,5
467,casual,10
468,member,3
468,casual,18
469,casual,11
469,member,7
470,casual,13
470,member,9
471,casual,11
471,member,4
472,casual,11
472,member,4
473,casual,9
473,member,11
474,member,7
474,casual,12
475,member,5
475,casual,7
476,member,5
476,casual,14
477,casual,7
477,member,5
478,casual,11
478,member,8
479,member,4
479,casual,22
480,member,8
480,casual,13
481,casual,4
481,member,6
482,casual,9
482,member,2
483,member,5
483,casual,12
484,member,4
484,casual,9
485,member,4
485,casual,6
486,casual,12
486,member,7
487,casual,11
487,member,8
488,member,6
488,casual,17
489,member,9
489,casual,11
490,member,6
490,casual,12
491,casual,12
491,member,8
492,casual,15
492,member,13
493,casual,12
493,member,6
494,casual,16
494,member,8
495,casual,6
495,member,6
496,casual,13
496,member,7
497,casual,9
497,member,8
498,member,9
498,casual,7
499,casual,10
499,member,10
500,casual,9
500,member,8
501,member,3
501,casual,8
502,casual,10
502,member,9
503,member,4
503,casual,10
504,member,9
504,casual,9
505,member,8
505,casual,7
506,member,10
506,casual,11
507,casual,11
507,member,8
508,member,7
508,casual,6
509,casual,13
509,member,6
510,casual,9
510,member,5
511,member,2
511,casual,10
512,casual,7
512,member,8
513,casual,7
513,member,5
514,casual,10
514,member,6
515,member,8
515,casual,10
516,member,9
516,casual,9
517,casual,5
517,member,4
518,casual,11
518,member,13
519,casual,14
519,member,6
520,casual,6
520,member,7
521,member,9
521,casual,8
522,casual,9
522,member,5
523,member,12
523,casual,11
524,casual,5
524,member,4
525,casual,13
525,member,5
526,casual,9
526,member,8
527,member,10
527,casual,14
528,member,3
528,casual,6
529,casual,16
529,member,7
530,member,4
530,casual,13
531,casual,8
531,member,7
532,casual,7
532,member,5
533,member,3
533,casual,7
534,casual,10
534,member,5
535,casual,9
535,member,7
536,casual,13
536,member,6
537,casual,6
537,member,6
538,member,8
538,casual,5
539,casual,10
539,member,4
540,member,15
540,casual,17
541,member,11
541,casual,12
542,casual,11
542,member,6
543,member,3
543,casual,6
544,casual,7
544,member,7
545,casual,6
545,member,10
546,member,12
546,casual,9
547,casual,7
547,member,7
548,casual,10
548,member,8
549,casual,9
549,member,10
550,casual,7
550,member,5
551,member,5
551,casual,5
552,casual,11
552,member,4
553,casual,8
553,member,4
554,casual,11
554,member,13
555,casual,15
555,member,7
556,casual,14
556,member,6
557,casual,9
557,member,8
558,member,3
558,casual,9
559,casual,9
559,member,6
560,member,8
560,casual,7
561,casual,9
561,member,6
562,member,6
562,casual,15
563,casual,11
563,member,5
564,member,3
564,casual,15
565,member,5
565,casual,2
566,casual,6
566,member,2
567,member,3
567,casual,11
568,casual,10
568,member,8
569,member,7
569,casual,8
570,member,3
570,casual,8
571,casual,8
571,member,6
572,member,4
572,casual,10
573,member,4
573,casual,5
574,member,4
574,casual,5
575,member,5
575,casual,11
576,member,4
576,casual,14
577,member,4
577,casual,5
578,member,9
578,casual,6
579,member,6
579,casual,6
580,casual,6
580,member,5
581,casual,9
581,member,4
582,casual,9
582,member,6
583,casual,7
583,member,5
584,member,3
584,casual,9
585,member,6
585,casual,6
586,member,6
586,casual,4
587,casual,9
587,member,1
588,member,6
588,casual,7
589,member,9
589,casual,7
590,casual,2
590,member,4
591,member,6
591,casual,5
592,member,11
592,casual,6
593,member,6
593,casual,12
594,casual,8
594,member,4
595,member,5
595,casual,11
596,casual,8
596,member,5
597,casual,13
597,member,5
598,member,7
598,casual,5
599,casual,5
599,member,12
600,casual,6
600,member,5
601,member,3
601,casual,8
602,casual,9
602,member,2
603,casual,5
603,member,11
604,member,5
604,casual,6
605,member,4
605,casual,2
606,casual,5
606,member,5
607,casual,11
607,member,3
608,casual,3
608,member,4
609,member,3
609,casual,6
610,member,1
610,casual,6
611,member,7
611,casual,9
612,member,8
612,casual,5
613,casual,13
613,member,10
614,member,6
614,casual,7
615,member,4
615,casual,8
616,member,7
616,casual,5
617,casual,5
617,member,6
618,member,7
618,casual,7
619,member,4
619,casual,8
620,member,2
620,casual,10
621,member,4
621,casual,13
622,casual,12
622,member,3
623,casual,12
623,member,5
624,member,3
624,casual,11
625,member,4
625,casual,11
626,member,4
626,casual,8
627,member,6
627,casual,6
628,member,5
628,casual,5
629,member,3
629,casual,6
630,member,4
630,casual,4
631,casual,7
631,member,3
632,casual,6
632,member,2
633,member,7
633,casual,7
634,casual,6
634,member,5
635,casual,10
635,member,5
636,casual,3
636,member,4
637,casual,3
637,member,2
638,member,4
638,casual,10
639,casual,8
639,member,1
640,casual,9
640,member,3
641,member,4
641,casual,5
642,casual,6
642,member,3
643,member,6
643,casual,11
644,casual,7
644,member,7
645,member,3
645,casual,12
646,casual,2
646,member,8
647,member,3
647,casual,8
648,member,7
648,casual,7
649,member,3
649,casual,11
650,member,8
650,casual,13
651,member,4
651,casual,6
652,member,7
652,casual,3
653,member,6
653,casual,4
654,casual,7
654,member,6
655,casual,8
655,member,5
656,member,5
656,casual,8
657,member,2
657,casual,4
658,member,7
658,casual,7
659,casual,8
659,member,6
660,member,3
660,casual,10
661,casual,7
661,member,6
662,member,6
662,casual,7
663,casual,4
663,member,6
664,casual,7
664,member,2
665,member,7
665,casual,9
666,member,6
666,casual,8
667,member,1
667,casual,8
668,casual,10
668,member,6
669,member,5
669,casual,4
670,casual,9
670,member,2
671,member,3
671,casual,5
672,casual,5
672,member,5
673,casual,8
673,member,7
674,member,4
674,casual,9
675,member,2
675,casual,5
676,member,5
676,casual,12
677,casual,5
677,member,4
678,member,5
678,casual,3
679,member,2
679,casual,12
680,member,2
680,casual,8
681,member,8
681,casual,13
682,member,4
682,casual,7
683,casual,6
683,member,4
684,casual,5
684,member,3
685,casual,9
685,member,2
686,member,3
686,casual,5
687,casual,5
687,member,3
688,member,2
688,casual,6
689,casual,9
689,member,4
690,casual,10
690,member,4
691,member,3
691,casual,5
692,member,9
692,casual,8
693,member,1
693,casual,6
694,casual,5
694,member,3
695,member,6
695,casual,7
696,casual,5
696,member,6
697,casual,1
697,member,1
698,member,3
698,casual,6
699,member,2
699,casual,7
700,member,6
700,casual,4
701,member,7
701,casual,2
702,casual,5
702,member,5
703,member,2
703,casual,6
704,casual,12
704,member,10
705,casual,8
705,member,1
706,member,3
706,casual,9
707,member,7
707,casual,6
708,member,9
708,casual,7
709,member,5
709,casual,7
710,member,3
710,casual,8
711,casual,9
711,member,6
712,casual,5
712,member,3
713,member,1
713,casual,8
714,member,6
714,casual,4
715,member,4
715,casual,6
716,member,3
716,casual,4
717,casual,8
717,member,5
718,casual,6
718,member,5
719,member,9
719,casual,13
720,casual,7
720,member,5
721,member,4
721,casual,14
722,member,5
722,casual,3
723,casual,7
723,member,11
724,member,6
724,casual,14
725,member,3
725,casual,9
726,member,6
726,casual,7
727,member,8
727,casual,4
728,member,2
728,casual,7
729,member,3
729,casual,6
730,member,5
730,casual,6
731,casual,6
731,member,2
732,member,2
732,casual,7
733,casual,5
733,member,3
734,casual,6
734,member,6
735,casual,5
735,member,6
736,member,1
736,casual,9
737,casual,6
737,member,10
738,member,3
738,casual,5
739,casual,7
739,member,8
740,member,3
740,casual,9
741,casual,7
741,member,4
742,member,7
742,casual,16
743,member,1
743,casual,7
744,member,2
744,casual,7
745,member,1
745,casual,7
746,member,3
746,casual,8
747,member,2
747,casual,8
748,casual,10
748,member,4
749,member,4
749,casual,7
750,member,5
750,casual,7
751,member,5
751,casual,3
752,casual,3
752,member,4
753,casual,12
753,member,1
754,casual,6
754,member,4
755,casual,1
755,member,3
756,member,4
756,casual,5
757,member,5
757,casual,6
758,member,3
758,casual,7
759,member,2
759,casual,5
760,casual,5
760,member,6
761,member,3
761,casual,2
762,member,4
762,casual,4
763,member,4
763,casual,10
764,casual,4
764,member,7
765,casual,5
765,member,3
766,casual,8
766,member,6
767,member,4
767,casual,7
768,casual,8
768,member,3
769,member,5
769,casual,11
770,casual,6
770,member,3
771,casual,9
771,member,8
772,casual,7
772,member,3
773,casual,6
773,member,4
774,member,3
774,casual,10
775,member,7
775,casual,5
776,member,6
776,casual,6
777,casual,9
777,member,4
778,casual,6
778,member,3
779,casual,6
779,member,4
780,member,6
780,casual,7
781,casual,10
781,member,6
782,member,2
782,casual,7
783,casual,10
783,member,6
784,casual,9
784,member,4
785,member,6
785,casual,5
786,casual,4
786,member,3
787,casual,5
787,member,4
788,casual,6
788,member,9
789,member,4
789,casual,9
790,casual,10
790,member,4
791,member,2
791,casual,10
792,member,11
792,casual,6
793,member,7
793,casual,9
794,casual,5
794,member,3
795,casual,2
795,member,6
796,casual,5
796,member,2
797,casual,14
797,member,5
798,member,6
798,casual,9
799,member,5
799,casual,9
800,casual,7
800,member,7
801,member,6
801,casual,13
802,member,6
802,casual,6
803,casual,7
803,member,5
804,member,3
804,casual,4
805,member,8
805,casual,5
806,casual,5
806,member,7
807,member,7
807,casual,10
808,casual,8
808,member,3
809,casual,9
809,member,2
810,casual,6
810,member,8
811,casual,6
811,member,8
812,member,10
812,casual,8
813,member,9
813,casual,8
814,member,5
814,casual,4
815,member,3
815,casual,11
816,member,8
816,casual,5
817,casual,7
817,member,4
818,member,10
818,casual,5
819,member,8
819,casual,6
820,member,6
820,casual,6
821,casual,7
821,member,5
822,casual,7
822,member,3
823,member,6
823,casual,7
824,member,1
824,casual,10
825,member,3
825,casual,8
826,casual,9
826,member,4
827,member,7
827,casual,7
828,casual,6
828,member,4
829,casual,11
829,member,1
830,casual,3
830,member,5
831,casual,8
831,member,4
832,casual,6
832,member,10
833,member,3
833,casual,6
834,casual,5
834,member,3
835,casual,9
835,member,4
836,member,4
836,casual,5
837,casual,5
837,member,8
838,casual,5
838,member,6
839,member,1
839,casual,6
840,member,4
841,casual,5
841,member,7
842,casual,13
842,member,9
843,member,4
843,casual,8
844,casual,5
844,member,7
845,casual,8
845,member,3
846,member,2
846,casual,7
847,member,4
847,casual,5
848,casual,6
848,member,8
849,member,8
849,casual,9
850,member,9
850,casual,13
851,member,2
851,casual,8
852,member,9
852,casual,8
